Product_ID,Category,Product_Name,Brand,Price,Cost,Units_Sold,SKU,Shelf_Space,Customer_Ratings,Frequency_of_Purchase,Sales,Gross_Margin,Total_Customers,Total_Transactions
P00001,Snacks,Product 1,Brand D,37.92,16.16,2242,50,2.23,3.7,62,85016.64,48785.92,1988,2242
P00002,Snacks,Product 2,Brand A,37.56,17.3,3146,57,4.46,3.7,94,118163.76,63737.96,1820,2221
P00003,Snacks,Product 3,Brand A,1.56,30.33,2303,48,2.59,4.4,95,3592.68,-66257.31,2003,2303
P00004,Frozen,Product 4,Brand C,25.23,1.29,2997,14,4.69,4.4,48,75614.31,71748.18,323,328
P00005,Dairy,Product 5,Brand B,22.63,4.93,5210,86,3.8,2.7,85,117902.3,92217.0,4860,5210
P00006,Bakery,Product 6,Brand A,21.79,19.96,3947,20,0.75,4.9,20,86005.13,7223.01,1034,1480
P00007,Produce,Product 7,Brand E,19.16,32.08,4540,31,4.69,3.3,85,86986.4,-58656.8,1412,1647
P00008,Dairy,Product 8,Brand C,44.5,11.56,2461,96,1.98,4.9,99,109514.5,81065.34,1408,1907
P00009,Dairy,Product 9,Brand B,41.96,10.27,772,73,1.6,4.9,39,32393.12,24464.68,325,772
P00010,Snacks,Product 10,Brand B,34.47,34.56,2261,21,0.84,3.5,88,77936.67,-203.49,299,634
P00011,Bakery,Product 11,Brand C,32.23,35.92,4738,62,1.84,3.1,81,152705.74,-17483.22,4699,4738
P00012,Dairy,Product 12,Brand C,29.59,6.92,4406,64,3.3,3.6,62,130373.54,99884.02,4206,4406
P00013,Bakery,Product 13,Brand D,39.69,36.21,3154,62,4.48,2.7,91,125182.26,10975.92,2984,3154
P00014,Beverages,Product 14,Brand D,40.83,26.91,2782,30,0.78,4.9,83,113589.06,38725.44,2424,2782
P00015,Beverages,Product 15,Brand A,29.1,35.13,4441,28,1.78,4.8,17,129233.1,-26779.23,4093,4441
P00016,Frozen,Product 16,Brand E,48.1,19.22,4054,78,2.6,2.7,29,194997.4,117079.52,4033,4054
P00017,Bakery,Product 17,Brand D,31.18,26.91,1872,97,2.42,4.3,21,58368.96,7993.44,1697,1872
P00018,Produce,Product 18,Brand A,47.57,37.21,2455,81,1.47,3.6,76,116784.35,25433.8,104,178
P00019,Dairy,Product 19,Brand A,22.26,31.01,3373,75,4.18,4.1,93,75082.98,-29513.75,379,663
P00020,Snacks,Product 20,Brand D,48.75,6.92,4798,68,4.24,4.5,59,233902.5,200700.34,3119,3268
P00021,Beverages,Product 21,Brand A,17.1,24.62,4823,58,4.54,4.3,21,82473.3,-36268.96,2464,2577
P00022,Beverages,Product 22,Brand A,24.2,35.68,2351,68,4.41,2.6,63,56894.2,-26989.48,226,510
P00023,Frozen,Product 23,Brand E,32.23,3.5,4585,32,3.17,4.2,97,147774.55,131727.05,4499,4585
P00024,Beverages,Product 24,Brand D,22.26,34.06,2998,12,1.31,3.5,89,66735.48,-35376.4,2896,2998
P00025,Bakery,Product 25,Brand D,49.66,22.3,4945,65,0.67,3.5,63,245568.7,135295.2,4926,4945
P00026,Produce,Product 26,Brand A,49.53,37.82,3412,67,3.17,3.1,83,168996.36,39954.52,3349,3412
P00027,Produce,Product 27,Brand C,6.05,38.01,4117,97,1.67,4.0,28,24907.85,-131579.32,4001,4117
P00028,Produce,Product 28,Brand D,49.53,6.92,4865,71,4.44,4.8,23,240963.45,207297.65,4685,4865
P00029,Produce,Product 29,Brand B,35.14,27.55,4670,27,1.78,4.0,61,164103.8,35445.3,4632,4670
P00030,Bakery,Product 30,Brand D,19.16,4.73,4103,70,2.85,3.6,87,78613.48,59206.29,3801,4103
P00031,Bakery,Product 31,Brand D,34.47,39.5,3582,46,3.72,3.9,31,123471.54,-18017.46,582,990
P00032,Frozen,Product 32,Brand D,4.99,37.21,4769,63,3.9,3.5,13,23797.31,-153657.18,3139,3231
P00033,Frozen,Product 33,Brand A,10.22,37.82,4683,87,4.37,3.0,68,47860.26,-129250.8,4510,4683
P00034,Beverages,Product 34,Brand D,45.23,17.02,3360,74,2.26,3.2,43,151972.8,94785.6,1607,1812
P00035,Produce,Product 35,Brand A,45.41,25.0,4884,23,0.98,2.9,73,221782.44,99682.44,3268,3277
P00036,Bakery,Product 36,Brand C,29.63,9.53,3863,14,4.37,4.7,27,114460.69,77646.3,1038,1047
P00037,Bakery,Product 37,Brand D,28.14,35.13,3866,71,3.07,4.9,91,108789.24,-27023.34,116,137
P00038,Bakery,Product 38,Brand A,48.2,39.5,4820,10,1.35,3.1,40,232324.0,41934.0,4642,4666
P00039,Snacks,Product 39,Brand A,40.53,11.14,4569,72,0.75,3.4,93,185181.57,134282.91,4474,4569
P00040,Snacks,Product 40,Brand C,1.56,6.5,4234,76,0.76,3.5,51,6605.04,-20915.96,4042,4234
P00041,Dairy,Product 41,Brand E,32.23,5.89,4996,29,1.37,3.1,83,161021.08,131594.64,4647,4996
P00042,Bakery,Product 42,Brand E,40.83,10.22,3109,52,1.08,2.8,12,126940.47,95166.49,2813,3109
P00043,Dairy,Product 43,Brand A,31.96,6.92,5259,94,1.91,2.9,94,168077.64,131685.36,4801,5259
P00044,Beverages,Product 44,Brand C,42.4,32.52,4165,51,1.25,3.3,64,176596.0,41150.2,3985,4165
